# Time(ns) B(a.u.) 
-2471.26 -8.12869e-05
-2469.99 -3.51852e-05
-2468.76 -6.35114e-05
-2467.49 -6.23659e-05
-2466.26 -7.16043e-05
-2464.99 -3.11756e-05
-2463.76 -4.06916e-05
-2462.49 -6.60244e-05
-2461.26 -4.59205e-05
-2459.99 -1.62643e-05
-2458.76 -1.95902e-05
-2457.49 5.11973e-05
-2456.26 -5.60835e-05
-2454.99 -1.71142e-05
-2453.76 -5.00411e-05
-2452.49 -9.75835e-06
-2451.26 9.60608e-06
-2449.99 2.5312e-05
-2448.76 3.10215e-05
-2447.49 5.0589e-05
-2446.26 -6.48423e-05
-2444.99 -3.19711e-05
-2443.76 -6.36043e-05
-2442.49 3.98694e-05
-2441.26 -5.03379e-05
-2439.99 4.58745e-05
-2438.76 -4.01381e-05
-2437.49 1.29846e-05
-2436.26 3.97954e-05
-2434.99 7.17799e-05
-2433.76 -3.05114e-05
-2432.49 -1.54707e-05
-2431.26 -8.67013e-05
-2429.99 -7.40445e-05
-2428.76 -0.000132637
-2427.49 -5.28692e-05
-2426.26 -0.000129736
-2424.99 -2.44692e-05
-2423.76 -2.36377e-05
-2422.49 5.18713e-06
-2421.26 -9.36304e-05
-2419.99 -2.79515e-06
-2418.76 1.57932e-05
-2417.49 2.84688e-05
-2416.26 -4.18011e-05
-2414.99 2.80992e-05
-2413.76 -9.74923e-05
-2412.49 2.76742e-05
-2411.26 -6.51565e-05
-2409.99 1.73084e-05
-2408.76 -7.99019e-05
-2407.49 -5.9022e-05
-2406.26 -7.61508e-05
-2404.99 2.47548e-05
-2403.76 -0.000102943
-2402.49 1.04163e-05
-2401.26 -6.24772e-05
-2399.99 -1.55261e-05
-2398.76 -5.43289e-05
-2397.49 6.22269e-05
-2396.26 -7.70192e-05
-2394.99 2.81177e-05
-2393.76 -4.05162e-06
-2392.49 -2.52084e-05
-2391.26 -8.14352e-05
-2389.99 5.70163e-05
-2388.76 3.67467e-05
-2387.49 1.7216e-05
-2386.26 -1.66803e-06
-2384.99 -7.38782e-05
-2383.76 -2.78876e-05
-2382.49 3.52315e-05
-2381.26 -4.34726e-06
-2379.99 2.00985e-05
-2378.76 -8.42437e-05
-2377.49 -7.25661e-05
-2376.26 -1.15535e-05
-2374.99 5.84022e-05
-2373.76 -4.66052e-05
